ModbusManager 1.0.8
20150624
Product: F1145, F1245
Database: 4446
Title;Info;ID;Unit;Size;Factor;Min;Max;Default;Mode
"Int. el.add. State";"State of the internal electrical addition";43091;"";u8;1;0;0;0;R;
"Status of the shunt controlled additional heat accessory";"10 = Off, 20 = Running, 30 = Passive";43097;"";u8;1;0;0;0;R;
"HPAC state";"State of the HPAC cooling accessory.";43103;"";u8;1;0;0;0;R;
"Fan speed current";"The current fan speed after scheduling and blocks are considered";43108;"%";u8;1;0;0;0;R;
"Internal cooling blocked";"";43152;"";u8;1;0;0;0;R;
"External adjustment activated via input S4";"";43158;"";u8;1;0;0;0;R;
"External adjustment activated via input S3";"";43159;"";u8;1;0;0;0;R;
"External adjustment activated via input S2";"";43160;"";u8;1;0;0;0;R;
"External adjustment activated via input S1";"";43161;"";u8;1;0;0;0;R;
"Blocking status of the shunt controlled add heat acc";"0 = Unblocked, 1 = Blocked";43163;"";u8;1;0;0;0;R;
"Cooling blocked";"Whether cooling is blocked";43164;"";u8;1;0;0;0;R;
"Blocking status of the step controlled add heat acc";"0 = Unblocked, 1 = Blocked";43171;"";u8;1;0;0;0;R;
"Ext. Heat Medium Pump";"0=Off,1=On";43189;"";u8;1;0;0;0;R;
"Accumulated energy";"";43230;"kWh";u32;10;0;9999999;0;R;
"Tot. HW op.time add.";"Total electric additive operation time in hot water mode";43239;"h";s32;10;0;9999999;0;R;
"HPAC Relays";"Indicates the active relays on the HPAC accessory. The information is binary encoded";43395;"";u8;1;0;0;0;R;
"Compressor starts EB100-EP14";"Number of compressorer starts";43416;"";s32;1;0;9999999;0;R;
"Tot. op.time compr. EB100-EP14";"Total compressorer operation time";43420;"h";s32;1;0;9999999;0;R;
"Tot. HW op.time compr. EB100-EP14";"Total compressorer operation time in hot water mode";43424;"h";s32;1;0;9999999;0;R;
"Compressor State EP14";"20 = Stopped, 40 = Starting, 60 = Running, 100 = Stopping";43427;"";u8;1;0;0;0;R;
"Supply Pump State EP14";"State of the supply pump";43431;"";u8;1;0;0;0;R;
"Brine pump state EP14";"";43433;"";u8;1;0;0;0;R;
"Compressor status EP14";"Indicates if the compressor is supplied with power 0=Off 1=On";43435;"";u8;1;0;0;0;R;
"HM-pump Status EP14";"Status of the circ. pump";43437;"";u8;1;0;0;0;R;
"Brinepump Status EP14";"Status of the Brine pump";43439;"";u8;1;0;0;0;R;
"Heat Compressors";"Number of compressors docked to heating";43473;"";u8;1;0;0;0;R;
"Hot Water Compressors";"Number of compressors docked to hot water";43474;"";u8;1;0;0;0;R;
"Pool 1 Compressors";"Number of compressors docked to pool 1";43475;"";u8;1;0;0;0;R;
"FLM Cooling Activated";"";43484;"";u8;1;0;0;0;R;
"FLM Cooling Activated";"";43485;"";u8;1;0;0;0;R;
"FLM Cooling Activated";"";43486;"";u8;1;0;0;0;R;
"FLM Cooling Activated";"";43487;"";u8;1;0;0;0;R;
"PCA-Base Relays EP14";"Indicates the active relays on the PCA-Base card. The information is binary encoded";43514;"";u8;1;0;0;0;R;
"PCA-Power Relays EP14";"Indicates the active relays on the PCA-Power card. The information is binary encoded";43516;"";u8;1;0;0;0;R;
"Pool 2 blocked";"";43560;"";u8;1;0;0;0;R;
"Pool 1 blocked";"";43561;"";u8;1;0;0;0;R;
"Pool 2 valve";"";43563;"";u8;1;0;0;0;R;
"Pool 1 valve";"";43564;"";u8;1;0;0;0;R;
"Pool 2 Compressors";"Number of compressors docked to pool 2";43577;"";u8;1;0;0;0;R;
"EB108 Version";"";43580;"";u16;1;0;0;0;R;
"EB108 Slave Type";"";43598;"";u8;1;0;0;0;R;
"EB108 Compressor Size";"";43599;"kW";u8;1;0;0;0;R;
"EB108-EP15-BT3 Return temp.";"Return temperature";43600;"°C";s16;10;0;0;0;R;
"EB108-EP15-BT10 Brine in temp";"";43601;"°C";s16;10;0;0;0;R;
"EB108-EP15-BT11 Brine out temp";"";43602;"°C";s16;10;0;0;0;R;
"EB108-EP15-BT12 Cond. out";"";43603;"°C";s16;10;0;0;0;R;
"EB108-EP15-BT14 Hot gas temp";"";43604;"°C";s16;10;0;0;0;R;
"EB108-EP15-BT15 Liquid line";"";43605;"°C";s16;10;0;0;0;R;
"EB108-EP15-BT17 Suction";"";43606;"°C";s16;10;0;0;0;R;
"EB108-EP15-BT29 Compr. Oil. temp.";"";43607;"°C";s16;10;0;0;0;R;
"EB108-EP15-BP8 Pressure transmitter";"";43608;"°C";s16;10;0;0;0;R;
"EB108-EP15 Compressor State";"";43609;"";u8;1;0;0;0;R;
"EB108-EP15 Compr. time to start";"";43610;"";u8;1;0;0;0;R;
"EB108-EP15 Relay status";"";43611;"";u16;1;0;0;0;R;
"EB108-EP15 Heat med. pump status";"";43612;"";u8;1;0;0;0;R;
"EB108-EP15 Brine pump status";"";43613;"";u8;1;0;0;0;R;
"EB108-EP15 Compressor starts";"";43614;"";u32;1;0;0;0;R;
"EB108-EP15 Tot. op.time compr";"";43616;"h";u32;1;0;0;0;R;
"EB108-EP15 Tot. HW op.time compr";"";43618;"h";u32;1;0;0;0;R;
"EB108-EP15 Alarm number";"The value indicates the most severe current alarm";43620;"";u16;1;0;0;0;R;
"EB108-EP14-BT3 Return temp.";"Return temperature";43621;"°C";s16;10;0;0;0;R;
"EB108-EP14-BT10 Brine in temp";"";43622;"°C";s16;10;0;0;0;R;
"EB108-EP14-BT11 Brine out temp";"";43623;"°C";s16;10;0;0;0;R;
"EB108-EP14-BT12 Cond. out";"";43624;"°C";s16;10;0;0;0;R;
"EB108-EP14-BT14 Hot gas temp";"";43625;"°C";s16;10;0;0;0;R;
"EB108-EP14-BT15 Liquid line";"";43626;"°C";s16;10;0;0;0;R;
"EB108-EP14-BT17 Suction";"";43627;"°C";s16;10;0;0;0;R;
"EB108-EP14-BT29 Compr. Oil. temp.";"";43628;"°C";s16;10;0;0;0;R;
"EB108-EP14-BP8 Pressure transmitter";"";43629;"°C";s16;10;0;0;0;R;
"EB108-EP14 Compressor State";"";43630;"";u8;1;0;0;0;R;
"EB108-EP14 Compr. time to start";"";43631;"";u8;1;0;0;0;R;
"EB108-EP14 Relay status";"";43632;"";u16;1;0;0;0;R;
"EB108-EP14 Heat med. pump status";"";43633;"";u8;1;0;0;0;R;
"EB108-EP14 Brine pump status";"";43634;"";u8;1;0;0;0;R;
"EB108-EP14 Compressor starts";"";43635;"";u32;1;0;9999999;0;R;
"EB108-EP14 Tot. op.time compr";"";43637;"h";u32;1;0;9999999;0;R;
"EB108-EP14 Tot. HW op.time compr";"";43639;"h";u32;1;0;9999999;0;R;
"EB108-EP14 Alarm number";"The value indicates the most severe current alarm";43641;"";u16;1;0;0;0;R;
"EB107 Version";"";43642;"";u16;1;0;0;0;R;
"EB107 Slave Type";"";43660;"";u8;1;0;0;0;R;
"EB107 Compressor Size";"";43661;"kW";u8;1;0;0;0;R;
"EB107-EP15-BT3 Return temp.";"Return temperature";43662;"°C";s16;10;0;0;0;R;
"EB107-EP15-BT10 Brine in temp";"";43663;"°C";s16;10;0;0;0;R;
"EB107-EP15-BT11 Brine out temp";"";43664;"°C";s16;10;0;0;0;R;
"EB107-EP15-BT12 Cond. out";"";43665;"°C";s16;10;0;0;0;R;
"EB107-EP15-BT14 Hot gas temp";"";43666;"°C";s16;10;0;0;0;R;
"EB107-EP15-BT15 Liquid line";"";43667;"°C";s16;10;0;0;0;R;
"EB107-EP15-BT17 Suction";"";43668;"°C";s16;10;0;0;0;R;
"EB107-EP15-BT29 Compr. Oil. temp.";"";43669;"°C";s16;10;0;0;0;R;
"EB107-EP15-BP8 Pressure transmitter";"";43670;"°C";s16;10;0;0;0;R;
"EB107-EP15 Compressor State";"";43671;"";u8;1;0;0;0;R;
"EB107-EP15 Compr. time to start";"";43672;"";u8;1;0;0;0;R;
"EB107-EP15 Relay status";"";43673;"";u16;1;0;0;0;R;
"EB107-EP15 Heat med. pump status";"";43674;"";u8;1;0;0;0;R;
"EB107-EP15 Brine pump status";"";43675;"";u8;1;0;0;0;R;
"EB107-EP15 Compressor starts";"";43676;"";u32;1;0;0;0;R;
"EB107-EP15 Tot. op.time compr";"";43678;"h";u32;1;0;0;0;R;
"EB107-EP15 Tot. HW op.time compr";"";43680;"h";u32;1;0;0;0;R;
"EB107-EP15 Alarm number";"The value indicates the most severe current alarm";43682;"";u16;1;0;0;0;R;
"EB107-EP14-BT3 Return temp.";"Return temperature";43683;"°C";s16;10;0;0;0;R;
"EB107-EP14-BT10 Brine in temp";"";43684;"°C";s16;10;0;0;0;R;
"EB107-EP14-BT11 Brine out temp";"";43685;"°C";s16;10;0;0;0;R;
"EB107-EP14-BT12 Cond. out";"";43686;"°C";s16;10;0;0;0;R;
"EB107-EP14-BT14 Hot gas temp";"";43687;"°C";s16;10;0;0;0;R;
"EB107-EP14-BT15 Liquid line";"";43688;"°C";s16;10;0;0;0;R;
"EB107-EP14-BT17 Suction";"";43689;"°C";s16;10;0;0;0;R;
"EB107-EP14-BT29 Compr. Oil. temp.";"";43690;"°C";s16;10;0;0;0;R;
"EB107-EP14-BP8 Pressure transmitter";"";43691;"°C";s16;10;0;0;0;R;
"EB107-EP14 Compressor State";"";43692;"";u8;1;0;0;0;R;
"EB107-EP14 Compr. time to start";"";43693;"";u8;1;0;0;0;R;
"EB107-EP14 Relay status";"";43694;"";u16;1;0;0;0;R;
"EB107-EP14 Heat med. pump status";"";43695;"";u8;1;0;0;0;R;
"EB107-EP14 Brine pump status";"";43696;"";u8;1;0;0;0;R;
"EB107-EP14 Compressor starts";"";43697;"";u32;1;0;9999999;0;R;
"EB107-EP14 Tot. op.time compr";"";43699;"h";u32;1;0;9999999;0;R;
"EB107-EP14 Tot. HW op.time compr";"";43701;"h";u32;1;0;9999999;0;R;
"EB107-EP14 Alarm number";"The value indicates the most severe current alarm";43703;"";u16;1;0;0;0;R;
"EB106 Version";"";43704;"";u16;1;0;0;0;R;
"EB106 Slave Type";"";43722;"";u8;1;0;0;0;R;
"EB106 Compressor Size";"";43723;"kW";u8;1;0;0;0;R;
"EB106-EP15-BT3 Return temp.";"Return temperature";43724;"°C";s16;10;0;0;0;R;
"EB106-EP15-BT10 Brine in temp";"";43725;"°C";s16;10;0;0;0;R;
"EB106-EP15-BT11 Brine out temp";"";43726;"°C";s16;10;0;0;0;R;
"EB106-EP15-BT12 Cond. out";"";43727;"°C";s16;10;0;0;0;R;
"EB106-EP15-BT14 Hot gas temp";"";43728;"°C";s16;10;0;0;0;R;
"EB106-EP15-BT15 Liquid line";"";43729;"°C";s16;10;0;0;0;R;
"EB106-EP15-BT17 Suction";"";43730;"°C";s16;10;0;0;0;R;
"EB106-EP15-BT29 Compr. Oil. temp.";"";43731;"°C";s16;10;0;0;0;R;
"EB106-EP15-BP8 Pressure transmitter";"";43732;"°C";s16;10;0;0;0;R;
"EB106-EP15 Compressor State";"";43733;"";u8;1;0;0;0;R;
"EB106-EP15 Compr. time to start";"";43734;"";u8;1;0;0;0;R;
"EB106-EP15 Relay status";"";43735;"";u16;1;0;0;0;R;
"EB106-EP15 Heat med. pump status";"";43736;"";u8;1;0;0;0;R;
"EB106-EP15 Brine pump status";"";43737;"";u8;1;0;0;0;R;
"EB106-EP15 Compressor starts";"";43738;"";u32;1;0;0;0;R;
"EB106-EP15 Tot. op.time compr";"";43740;"h";u32;1;0;0;0;R;
"EB106-EP15 Tot. HW op.time compr";"";43742;"h";u32;1;0;0;0;R;
"EB106-EP15 Alarm number";"The value indicates the most severe current alarm";43744;"";u16;1;0;0;0;R;
"EB106-EP14-BT3 Return temp.";"Return temperature";43745;"°C";s16;10;0;0;0;R;
"EB106-EP14-BT10 Brine in temp";"";43746;"°C";s16;10;0;0;0;R;
"EB106-EP14-BT11 Brine out temp";"";43747;"°C";s16;10;0;0;0;R;
"EB106-EP14-BT12 Cond. out";"";43748;"°C";s16;10;0;0;0;R;
"EB106-EP14-BT14 Hot gas temp";"";43749;"°C";s16;10;0;0;0;R;
"EB106-EP14-BT15 Liquid line";"";43750;"°C";s16;10;0;0;0;R;
"EB106-EP14-BT17 Suction";"";43751;"°C";s16;10;0;0;0;R;
"EB106-EP14-BT29 Compr. Oil. temp.";"";43752;"°C";s16;10;0;0;0;R;
"EB106-EP14-BP8 Pressure transmitter";"";43753;"°C";s16;10;0;0;0;R;
"EB106-EP14 Compressor State";"";43754;"";u8;1;0;0;0;R;
"EB106-EP14 Compr. time to start";"";43755;"";u8;1;0;0;0;R;
"EB106-EP14 Relay status";"";43756;"";u16;1;0;0;0;R;
"EB106-EP14 Heat med. pump status";"";43757;"";u8;1;0;0;0;R;
"EB106-EP14 Brine pump status";"";43758;"";u8;1;0;0;0;R;
"EB106-EP14 Compressor starts";"";43759;"";u32;1;0;9999999;0;R;
"EB106-EP14 Tot. op.time compr";"";43761;"h";u32;1;0;9999999;0;R;
"EB106-EP14 Tot. HW op.time compr";"";43763;"h";u32;1;0;9999999;0;R;
"EB106-EP14 Alarm number";"The value indicates the most severe current alarm";43765;"";u16;1;0;0;0;R;
"EB105 Version";"";43766;"";u16;1;0;0;0;R;
"EB105 Slave Type";"";43784;"";u8;1;0;0;0;R;
"EB105 Compressor Size";"";43785;"kW";u8;1;0;0;0;R;
"EB105-EP15-BT3 Return temp.";"Return temperature";43786;"°C";s16;10;0;0;0;R;
"EB105-EP15-BT10 Brine in temp";"";43787;"°C";s16;10;0;0;0;R;
"EB105-EP15-BT11 Brine out temp";"";43788;"°C";s16;10;0;0;0;R;
"EB105-EP15-BT12 Cond. out";"";43789;"°C";s16;10;0;0;0;R;
"EB105-EP15-BT14 Hot gas temp";"";43790;"°C";s16;10;0;0;0;R;
"EB105-EP15-BT15 Liquid line";"";43791;"°C";s16;10;0;0;0;R;
"EB105-EP15-BT17 Suction";"";43792;"°C";s16;10;0;0;0;R;
"EB105-EP15-BT29 Compr. Oil. temp.";"";43793;"°C";s16;10;0;0;0;R;
"EB105-EP15-BP8 Pressure transmitter";"";43794;"°C";s16;10;0;0;0;R;
"EB105-EP15 Compressor State";"";43795;"";u8;1;0;0;0;R;
"EB105-EP15 Compr. time to start";"";43796;"";u8;1;0;0;0;R;
"EB105-EP15 Relay status";"";43797;"";u16;1;0;0;0;R;
"EB105-EP15 Heat med. pump status";"";43798;"";u8;1;0;0;0;R;
"EB105-EP15 Brine pump status";"";43799;"";u8;1;0;0;0;R;
"EB105-EP15 Compressor starts";"";43800;"";u32;1;0;0;0;R;
"EB105-EP15 Tot. op.time compr";"";43802;"h";u32;1;0;0;0;R;
"EB105-EP15 Tot. HW op.time compr";"";43804;"h";u32;1;0;0;0;R;
"EB105-EP15 Alarm number";"The value indicates the most severe current alarm";43806;"";u16;1;0;0;0;R;
"EB105-EP14-BT3 Return temp.";"Return temperature";43807;"°C";s16;10;0;0;0;R;
"EB105-EP14-BT10 Brine in temp";"";43808;"°C";s16;10;0;0;0;R;
"EB105-EP14-BT11 Brine out temp";"";43809;"°C";s16;10;0;0;0;R;
"EB105-EP14-BT12 Cond. out";"";43810;"°C";s16;10;0;0;0;R;
"EB105-EP14-BT14 Hot gas temp";"";43811;"°C";s16;10;0;0;0;R;
"EB105-EP14-BT15 Liquid line";"";43812;"°C";s16;10;0;0;0;R;
"EB105-EP14-BT17 Suction";"";43813;"°C";s16;10;0;0;0;R;
"EB105-EP14-BT29 Compr. Oil. temp.";"";43814;"°C";s16;10;0;0;0;R;
"EB105-EP14-BP8 Pressure transmitter";"";43815;"°C";s16;10;0;0;0;R;
"EB105-EP14 Compressor State";"";43816;"";u8;1;0;0;0;R;
"EB105-EP14 Compr. time to start";"";43817;"";u8;1;0;0;0;R;
"EB105-EP14 Relay status";"";43818;"";u16;1;0;0;0;R;
"EB105-EP14 Heat med. pump status";"";43819;"";u8;1;0;0;0;R;
"EB105-EP14 Brine pump status";"";43820;"";u8;1;0;0;0;R;
"EB105-EP14 Compressor starts";"";43821;"";u32;1;0;9999999;0;R;
"EB105-EP14 Tot. op.time compr";"";43823;"h";u32;1;0;9999999;0;R;
"EB105-EP14 Tot. HW op.time compr";"";43825;"h";u32;1;0;9999999;0;R;
"EB105-EP14 Alarm number";"The value indicates the most severe current alarm";43827;"";u16;1;0;0;0;R;
"EB104 Version";"";43828;"";u16;1;0;0;0;R;
"EB104 Slave Type";"";43846;"";u8;1;0;0;0;R;
"EB104 Compressor Size";"";43847;"kW";u8;1;0;0;0;R;
"EB104-EP15-BT3 Return temp.";"Return temperature";43848;"°C";s16;10;0;0;0;R;
"EB104-EP15-BT10 Brine in temp";"";43849;"°C";s16;10;0;0;0;R;
"EB104-EP15-BT11 Brine out temp";"";43850;"°C";s16;10;0;0;0;R;
"EB104-EP15-BT12 Cond. out";"";43851;"°C";s16;10;0;0;0;R;
"EB104-EP15-BT14 Hot gas temp";"";43852;"°C";s16;10;0;0;0;R;
"EB104-EP15-BT15 Liquid line";"";43853;"°C";s16;10;0;0;0;R;
"EB104-EP15-BT17 Suction";"";43854;"°C";s16;10;0;0;0;R;
"EB104-EP15-BT29 Compr. Oil. temp.";"";43855;"°C";s16;10;0;0;0;R;
"EB104-EP15-BP8 Pressure transmitter";"";43856;"°C";s16;10;0;0;0;R;
"EB104-EP15 Compressor State";"";43857;"";u8;1;0;0;0;R;
"EB104-EP15 Compr. time to start";"";43858;"";u8;1;0;0;0;R;
"EB104-EP15 Relay status";"";43859;"";u16;1;0;0;0;R;
"EB104-EP15 Heat med. pump status";"";43860;"";u8;1;0;0;0;R;
"EB104-EP15 Brine pump status";"";43861;"";u8;1;0;0;0;R;
"EB104-EP15 Compressor starts";"";43862;"";u32;1;0;0;0;R;
"EB104-EP15 Tot. op.time compr";"";43864;"h";u32;1;0;0;0;R;
"EB104-EP15 Tot. HW op.time compr";"";43866;"h";u32;1;0;0;0;R;
"EB104-EP15 Alarm number";"The value indicates the most severe current alarm";43868;"";u16;1;0;0;0;R;
"EB104-EP14-BT3 Return temp.";"Return temperature";43869;"°C";s16;10;0;0;0;R;
"EB104-EP14-BT10 Brine in temp";"";43870;"°C";s16;10;0;0;0;R;
"EB104-EP14-BT11 Brine out temp";"";43871;"°C";s16;10;0;0;0;R;
"EB104-EP14-BT12 Cond. out";"";43872;"°C";s16;10;0;0;0;R;
"EB104-EP14-BT14 Hot gas temp";"";43873;"°C";s16;10;0;0;0;R;
"EB104-EP14-BT15 Liquid line";"";43874;"°C";s16;10;0;0;0;R;
"EB104-EP14-BT17 Suction";"";43875;"°C";s16;10;0;0;0;R;
"EB104-EP14-BT29 Compr. Oil. temp.";"";43876;"°C";s16;10;0;0;0;R;
"EB104-EP14-BP8 Pressure transmitter";"";43877;"°C";s16;10;0;0;0;R;
"EB104-EP14 Compressor State";"";43878;"";u8;1;0;0;0;R;
"EB104-EP14 Compr. time to start";"";43879;"";u8;1;0;0;0;R;
"EB104-EP14 Relay status";"";43880;"";u16;1;0;0;0;R;
"EB104-EP14 Heat med. pump status";"";43881;"";u8;1;0;0;0;R;
"EB104-EP14 Brine pump status";"";43882;"";u8;1;0;0;0;R;
"EB104-EP14 Compressor starts";"";43883;"";u32;1;0;9999999;0;R;
"EB104-EP14 Tot. op.time compr";"";43885;"h";u32;1;0;9999999;0;R;
"EB104-EP14 Tot. HW op.time compr";"";43887;"h";u32;1;0;9999999;0;R;
"EB104-EP14 Alarm number";"The value indicates the most severe current alarm";43889;"";u16;1;0;0;0;R;
"EB103 Version";"";43890;"";u16;1;0;0;0;R;
"EB103 Slave Type";"";43908;"";u8;1;0;0;0;R;
"EB103 Compressor Size";"";43909;"kW";u8;1;0;0;0;R;
"EB103-EP15-BT3 Return temp.";"Return temperature";43910;"°C";s16;10;0;0;0;R;
"EB103-EP15-BT10 Brine in temp";"";43911;"°C";s16;10;0;0;0;R;
"EB103-EP15-BT11 Brine out temp";"";43912;"°C";s16;10;0;0;0;R;
"EB103-EP15-BT12 Cond. out";"";43913;"°C";s16;10;0;0;0;R;
"EB103-EP15-BT14 Hot gas temp";"";43914;"°C";s16;10;0;0;0;R;
"EB103-EP15-BT15 Liquid line";"";43915;"°C";s16;10;0;0;0;R;
"EB103-EP15-BT17 Suction";"";43916;"°C";s16;10;0;0;0;R;
"EB103-EP15-BT29 Compr. Oil. temp.";"";43917;"°C";s16;10;0;0;0;R;
"EB103-EP15-BP8 Pressure transmitter";"";43918;"°C";s16;10;0;0;0;R;
"EB103-EP15 Compressor State";"";43919;"";u8;1;0;0;0;R;
"EB103-EP15 Compr. time to start";"";43920;"";u8;1;0;0;0;R;
"EB103-EP15 Relay status";"";43921;"";u16;1;0;0;0;R;
"EB103-EP15 Heat med. pump status";"";43922;"";u8;1;0;0;0;R;
"EB103-EP15 Brine pump status";"";43923;"";u8;1;0;0;0;R;
"EB103-EP15 Compressor starts";"";43924;"";u32;1;0;0;0;R;
"EB103-EP15 Tot. op.time compr";"";43926;"h";u32;1;0;0;0;R;
"EB103-EP15 Tot. HW op.time compr";"";43928;"h";u32;1;0;0;0;R;
"EB103-EP15 Alarm number";"The value indicates the most severe current alarm";43930;"";u16;1;0;0;0;R;
"EB103-EP14-BT3 Return temp.";"Return temperature";43931;"°C";s16;10;0;0;0;R;
"EB103-EP14-BT10 Brine in temp";"";43932;"°C";s16;10;0;0;0;R;
"EB103-EP14-BT11 Brine out temp";"";43933;"°C";s16;10;0;0;0;R;
"EB103-EP14-BT12 Cond. out";"";43934;"°C";s16;10;0;0;0;R;
"EB103-EP14-BT14 Hot gas temp";"";43935;"°C";s16;10;0;0;0;R;
"EB103-EP14-BT15 Liquid line";"";43936;"°C";s16;10;0;0;0;R;
"EB103-EP14-BT17 Suction";"";43937;"°C";s16;10;0;0;0;R;
"EB103-EP14-BT29 Compr. Oil. temp.";"";43938;"°C";s16;10;0;0;0;R;
"EB103-EP14-BP8 Pressure transmitter";"";43939;"°C";s16;10;0;0;0;R;
"EB103-EP14 Compressor State";"";43940;"";u8;1;0;0;0;R;
